P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
145422,tan gainsboro aquamarine magenta navy,Manufacturer#2,Brand#24,MEDIUM POLISHED BRASS,23,SM JAR,1467.42,unts. slyly expre
145460,ivory pale blue sky cyan,Manufacturer#3,Brand#34,ECONOMY BRUSHED STEEL,32,LG CAN,1505.46,pinto beans. s
145726,azure hot blush plum ivory,Manufacturer#1,Brand#14,STANDARD POLISHED COPPER,37,JUMBO PKG,1771.72,ial dependencies.
145771,royal steel goldenrod chocolate tan,Manufacturer#2,Brand#22,MEDIUM BURNISHED BRASS,46,LG CASE,1816.77,ites at the blithely 
145890,turquoise navajo papaya dark firebrick,Manufacturer#1,Brand#11,LARGE PLATED BRASS,24,SM PACK,1935.89,foxes are slyly
145975,green cornflower violet lace beige,Manufacturer#3,Brand#34,ECONOMY ANODIZED NICKEL,5,MED DRUM,2020.97,ets b
146249,sandy violet salmon antique light,Manufacturer#1,Brand#14,ECONOMY PLATED TIN,30,MED DRUM,1295.24,fully express d
146251,cornsilk puff red blush midnight,Manufacturer#5,Brand#55,STANDARD ANODIZED NICKEL,43,JUMBO PKG,1297.25,deposits s
146307,burnished drab violet floral thistle,Manufacturer#2,Brand#24,PROMO POLISHED BRASS,3,WRAP DRUM,1353.3,ests! blithely even no
146446,seashell gainsboro blue almond pale,Manufacturer#5,Brand#53,ECONOMY PLATED STEEL,41,JUMBO DRUM,1492.44,pending packages. s
146636,peach honeydew sienna brown floral,Manufacturer#5,Brand#52,SMALL ANODIZED NICKEL,20,JUMBO PACK,1682.63," ironic, final h"
146654,cyan grey ivory goldenrod light,Manufacturer#5,Brand#52,SMALL BURNISHED NICKEL,47,WRAP DRUM,1700.65,en pinto
146732,maroon lawn pink antique lavender,Manufacturer#3,Brand#34,ECONOMY BRUSHED NICKEL,28,MED BAG,1778.73,y regular requests wa
146752,chartreuse black grey cream purple,Manufacturer#1,Brand#11,SMALL BURNISHED NICKEL,14,LG BOX,1798.75,sts wake careful
146787,moccasin rosy lace linen antique,Manufacturer#5,Brand#51,MEDIUM ANODIZED COPPER,15,SM PKG,1833.78,ld accounts ca
146868,pale orchid sandy cornflower violet,Manufacturer#3,Brand#32,STANDARD BURNISHED STEEL,4,JUMBO DRUM,1914.86,requests wake blithe
146903,sky lemon dodger metallic azure,Manufacturer#2,Brand#22,LARGE PLATED COPPER,31,LG DRUM,1949.9,ly bold asymptotes
190695,cyan hot seashell antique smoke,Manufacturer#3,Brand#33,STANDARD PLATED TIN,15,LG JAR,1785.69,ully final asymptot
138363,coral thistle beige plum rosy,Manufacturer#4,Brand#45,LARGE POLISHED STEEL,45,WRAP CAN,1401.36,long the pinto 
190753,dim ghost violet linen forest,Manufacturer#3,Brand#33,ECONOMY BURNISHED NICKEL,13,MED JAR,1843.75,ully acco
138523,indian orchid purple wheat lemon,Manufacturer#5,Brand#54,PROMO BRUSHED COPPER,47,LG PACK,1561.52,e slyl
190847,brown salmon ivory olive lavender,Manufacturer#4,Brand#43,PROMO PLATED NICKEL,39,MED BOX,1937.84,ackages use b
138625,violet goldenrod turquoise aquamarine cornflower,Manufacturer#2,Brand#22,PROMO PLATED TIN,23,JUMBO BAG,1663.62,lithely ironic 
138658,tomato papaya linen chartreuse maroon,Manufacturer#1,Brand#11,ECONOMY BRUSHED COPPER,9,JUMBO BOX,1696.65,"the pending,"
138680,bisque beige antique gainsboro thistle,Manufacturer#5,Brand#54,SMALL ANODIZED COPPER,29,WRAP PKG,1718.68,ts bo
190953,sky grey purple yellow pale,Manufacturer#3,Brand#35,LARGE POLISHED NICKEL,37,LG DRUM,2043.95,le slyly ideas
190959,sandy seashell light medium slate,Manufacturer#3,Brand#34,ECONOMY BRUSHED BRASS,17,LG DRUM,2049.95,theodolite
138690,sandy lavender thistle medium lemon,Manufacturer#1,Brand#14,SMALL ANODIZED BRASS,22,MED CAN,1728.69,sleep quickly sl
138766,aquamarine smoke blush burnished beige,Manufacturer#1,Brand#12,ECONOMY POLISHED NICKEL,38,MED PKG,1804.76,cial requests. close
138781,violet dim sandy pink cream,Manufacturer#4,Brand#43,LARGE POLISHED BRASS,41,SM BAG,1819.78, final theodolites de
191123,khaki grey indian antique sky,Manufacturer#3,Brand#34,ECONOMY ANODIZED COPPER,8,SM DRUM,1214.12,uests. carefu
191127,olive blush blanched rosy brown,Manufacturer#2,Brand#24,STANDARD PLATED NICKEL,5,MED PACK,1218.12,ely slyly eve
138884,plum violet lime puff snow,Manufacturer#1,Brand#11,SMALL BRUSHED BRASS,12,MED PACK,1922.88,lar pin
191162,cyan ivory dodger peru bisque,Manufacturer#1,Brand#12,STANDARD POLISHED STEEL,14,WRAP PKG,1253.16,quickly
191229,sienna papaya thistle almond plum,Manufacturer#2,Brand#22,MEDIUM ANODIZED STEEL,50,SM JAR,1320.22,ct regu
138978,beige seashell lawn magenta deep,Manufacturer#4,Brand#41,SMALL BURNISHED COPPER,23,MED CASE,2016.97,t slyly boldly even r
12302,medium tan lime rose beige,Manufacturer#1,Brand#11,STANDARD ANODIZED STEEL,43,LG DRUM,1214.3,usual requests 
191377,maroon honeydew plum dim seashell,Manufacturer#1,Brand#15,MEDIUM BURNISHED COPPER,39,WRAP DRUM,1468.37,ut the spec
191397,beige steel goldenrod orchid black,Manufacturer#1,Brand#12,LARGE POLISHED COPPER,49,LG CASE,1488.39,ic accoun
191494,mint azure ghost slate rosy,Manufacturer#3,Brand#34,MEDIUM PLATED COPPER,11,JUMBO PACK,1585.49, final accounts wa
191575,snow brown lawn royal puff,Manufacturer#2,Brand#24,MEDIUM PLATED NICKEL,1,MED CASE,1666.57,lets detect furiousl
12373,indian aquamarine yellow light beige,Manufacturer#1,Brand#12,LARGE BRUSHED BRASS,26,WRAP BAG,1285.37,ounts cajol
12420,cyan magenta honeydew smoke lawn,Manufacturer#1,Brand#13,ECONOMY ANODIZED TIN,40,LG PKG,1332.42, blithely
12449,puff olive sienna violet cream,Manufacturer#3,Brand#32,SMALL POLISHED TIN,43,LG CAN,1361.44,nstructions
191599,dim midnight white metallic goldenrod,Manufacturer#3,Brand#33,LARGE BURNISHED NICKEL,5,SM CASE,1690.59,"t the even, "
139180,salmon steel cyan chartreuse lavender,Manufacturer#5,Brand#55,STANDARD BURNISHED STEEL,34,WRAP PACK,1219.18,after the theodolite
191739,green honeydew yellow maroon cyan,Manufacturer#2,Brand#23,ECONOMY ANODIZED BRASS,22,SM BAG,1830.73,lithe
191863,powder antique peru sky lace,Manufacturer#4,Brand#41,ECONOMY PLATED BRASS,50,JUMBO DRUM,1954.86,e blithely 
191904,burlywood wheat peach papaya medium,Manufacturer#3,Brand#31,PROMO BRUSHED TIN,11,WRAP JAR,1995.9,accounts. regula
139314,rose brown ivory drab blush,Manufacturer#1,Brand#12,STANDARD BURNISHED TIN,37,WRAP BOX,1353.31,y regular deposits s
191972,royal orange violet steel burlywood,Manufacturer#3,Brand#34,PROMO BRUSHED BRASS,9,WRAP PACK,2063.97,ly among the slyly 
191984,navy light aquamarine dark steel,Manufacturer#4,Brand#41,STANDARD ANODIZED NICKEL,27,LG JAR,2075.98,ng pinto beans. sil
192038,olive cornsilk ivory gainsboro peru,Manufacturer#2,Brand#23,SMALL PLATED BRASS,1,WRAP BOX,1130.03,s are slyly furious
192047,pink lavender mint frosted dark,Manufacturer#3,Brand#32,LARGE BRUSHED TIN,20,LG CASE,1139.04,"s mold. regular, regul"
192173,peach orchid white frosted tan,Manufacturer#3,Brand#34,ECONOMY POLISHED COPPER,32,JUMBO PACK,1265.17, boost carefull
192223,white chocolate maroon royal lawn,Manufacturer#5,Brand#55,SMALL BURNISHED STEEL,9,LG JAR,1315.22,pending theodolites
12732,lavender antique brown blue floral,Manufacturer#5,Brand#55,MEDIUM ANODIZED BRASS,37,MED DRUM,1644.73, foxes. furious
192261,hot mint royal cream almond,Manufacturer#3,Brand#33,SMALL BURNISHED BRASS,28,MED CAN,1353.26,s boost quic
192343,grey puff purple tan blush,Manufacturer#1,Brand#12,STANDARD ANODIZED STEEL,17,JUMBO CASE,1435.34, bold packages 
192438,royal frosted indian misty sandy,Manufacturer#5,Brand#53,SMALL PLATED COPPER,28,LG BOX,1530.43,sly. slyly
12918,navy cornflower hot midnight indian,Manufacturer#4,Brand#43,PROMO POLISHED COPPER,40,JUMBO PKG,1830.91,l acc
12993,olive tan green cyan aquamarine,Manufacturer#3,Brand#31,MEDIUM ANODIZED TIN,37,JUMBO JAR,1905.99,n deposi
192572,salmon peru plum chiffon papaya,Manufacturer#4,Brand#42,SMALL ANODIZED TIN,37,MED JAR,1664.57,egular requests nag f
13037,dodger burnished burlywood drab cream,Manufacturer#3,Brand#32,SMALL POLISHED TIN,50,SM JAR,950.03,s alongside 
13051,deep hot green lime tomato,Manufacturer#1,Brand#11,MEDIUM PLATED TIN,27,WRAP BAG,964.05,final ide
192834,indian turquoise pale coral puff,Manufacturer#2,Brand#21,PROMO BURNISHED BRASS,41,LG DRUM,1926.83,ely at 
192850,almond turquoise goldenrod light dark,Manufacturer#4,Brand#41,MEDIUM ANODIZED STEEL,31,LG DRUM,1942.85, quickly? finally 
192865,orange burlywood medium powder puff,Manufacturer#4,Brand#44,ECONOMY PLATED NICKEL,48,MED JAR,1957.86,ithely regular
139674,bisque orange burlywood powder cornflower,Manufacturer#1,Brand#11,MEDIUM PLATED TIN,8,WRAP PKG,1713.67, deposits cajol
139686,aquamarine floral plum gainsboro almond,Manufacturer#1,Brand#12,ECONOMY BURNISHED COPPER,17,WRAP CASE,1725.68,yly final asymptote
139747,cornflower violet khaki floral sky,Manufacturer#3,Brand#33,SMALL ANODIZED TIN,50,LG JAR,1786.74,nic accounts
193002,ghost turquoise medium metallic lemon,Manufacturer#2,Brand#22,LARGE BRUSHED BRASS,31,WRAP PACK,1095,ges: sometime
139860,dodger ivory gainsboro slate cyan,Manufacturer#5,Brand#52,SMALL ANODIZED TIN,50,SM PKG,1899.86, accordin
139875,cornsilk mint smoke papaya drab,Manufacturer#4,Brand#44,STANDARD POLISHED NICKEL,8,JUMBO PACK,1914.87,frets wake carefull
193171,orchid lemon dark sandy sienna,Manufacturer#5,Brand#53,SMALL ANODIZED STEEL,25,SM PKG,1264.17,ar foxes. 
13244,yellow thistle cream tomato chiffon,Manufacturer#1,Brand#15,LARGE PLATED COPPER,50,MED DRUM,1157.24,ctions 
193267,navajo khaki yellow misty turquoise,Manufacturer#5,Brand#51,SMALL BURNISHED TIN,6,MED PACK,1360.26,sleep blithely.
139955,powder moccasin blue brown seashell,Manufacturer#5,Brand#54,PROMO PLATED NICKEL,50,LG BOX,1994.95,e quickly ironic id
139990,cream gainsboro navy white mint,Manufacturer#5,Brand#53,MEDIUM PLATED NICKEL,13,JUMBO PKG,2029.99, carefully careful th
13425,dodger frosted smoke hot cream,Manufacturer#1,Brand#11,PROMO BRUSHED NICKEL,41,LG CASE,1338.42,#NAME?
193532,almond blue olive lime plum,Manufacturer#3,Brand#33,STANDARD PLATED STEEL,50,WRAP BAG,1625.53,pinto bean
13467,sandy dodger saddle metallic honeydew,Manufacturer#1,Brand#13,PROMO ANODIZED NICKEL,48,JUMBO JAR,1380.46,ges. final 
193574,floral tan magenta dark pale,Manufacturer#5,Brand#51,SMALL BURNISHED STEEL,19,LG CASE,1667.57,dolites. quickly 
193710,smoke deep red ivory light,Manufacturer#5,Brand#55,PROMO BRUSHED NICKEL,26,SM BOX,1803.71,lent depo
193744,beige coral wheat cream magenta,Manufacturer#4,Brand#42,LARGE PLATED NICKEL,40,LG BAG,1837.74,l pinto beans sleep. 
13608,moccasin lace pale lavender gainsboro,Manufacturer#4,Brand#41,ECONOMY BRUSHED NICKEL,35,SM PACK,1521.6,lyly ironic
13655,lawn forest blue olive steel,Manufacturer#3,Brand#34,LARGE ANODIZED TIN,34,LG BOX,1568.65, final depe
193787,coral honeydew rosy olive lavender,Manufacturer#2,Brand#22,PROMO PLATED NICKEL,18,SM CAN,1880.78,. furiously even T
193834,turquoise plum peach burnished frosted,Manufacturer#4,Brand#44,MEDIUM ANODIZED STEEL,50,JUMBO PKG,1927.83,pende
13722,papaya tomato goldenrod cream black,Manufacturer#1,Brand#12,MEDIUM PLATED COPPER,4,WRAP BAG,1635.72,efully regular inst
13796,purple violet goldenrod almond navy,Manufacturer#4,Brand#41,STANDARD BURNISHED NICKEL,32,SM DRUM,1709.79,g furiously somet
13805,lawn moccasin brown linen green,Manufacturer#3,Brand#34,ECONOMY POLISHED TIN,35,WRAP JAR,1718.8,ily regular 
13820,chartreuse rosy beige honeydew mint,Manufacturer#2,Brand#23,PROMO BRUSHED BRASS,5,JUMBO BAG,1733.82,he fluffil
194180,lemon bisque purple cornsilk almond,Manufacturer#4,Brand#44,SMALL BRUSHED COPPER,2,SM CAN,1274.18,es ha
194310,lawn chocolate burnished yellow cornflower,Manufacturer#4,Brand#44,STANDARD BURNISHED NICKEL,23,JUMBO CAN,1404.31,"usual, "
194313,chocolate coral slate magenta peru,Manufacturer#5,Brand#55,MEDIUM BURNISHED COPPER,14,LG BAG,1407.31,y even fox
194409,gainsboro snow pale indian orchid,Manufacturer#1,Brand#14,STANDARD POLISHED STEEL,44,JUMBO CASE,1503.4,oxes are.
194427,firebrick peru aquamarine pink navajo,Manufacturer#4,Brand#43,SMALL PLATED BRASS,36,LG PACK,1521.42,egula
194522,lavender firebrick chartreuse navy almond,Manufacturer#4,Brand#43,ECONOMY PLATED TIN,4,LG CASE,1616.52, deposits
194548,goldenrod lawn navy deep lavender,Manufacturer#4,Brand#44,SMALL ANODIZED COPPER,8,WRAP PKG,1642.54,nal excuses are
14447,plum navy dim sky blue,Manufacturer#5,Brand#54,LARGE PLATED COPPER,20,JUMBO BOX,1361.44,he furiously ir
194666,sandy slate goldenrod smoke midnight,Manufacturer#3,Brand#34,MEDIUM PLATED TIN,16,WRAP CASE,1760.66,nal foxes h
14598,spring papaya chartreuse plum drab,Manufacturer#4,Brand#44,SMALL PLATED COPPER,2,MED JAR,1512.59,uickly ev
14606,dark pink forest green peru,Manufacturer#1,Brand#11,SMALL ANODIZED BRASS,43,WRAP BAG,1520.6,ly. fur
194833,pale violet lace forest white,Manufacturer#2,Brand#21,ECONOMY PLATED COPPER,31,LG CAN,1927.83,ironically
14683,drab light spring navy honeydew,Manufacturer#3,Brand#33,MEDIUM ANODIZED STEEL,4,JUMBO BAG,1597.68,s nag blithely.
14759,rose hot saddle maroon red,Manufacturer#5,Brand#52,ECONOMY PLATED COPPER,12,SM PKG,1673.75,. slyly special t
194877,drab burlywood white lace spring,Manufacturer#4,Brand#43,STANDARD BRUSHED NICKEL,7,SM PACK,1971.87, ironic account
194883,dodger white red aquamarine slate,Manufacturer#5,Brand#53,SMALL ANODIZED STEEL,23,JUMBO JAR,1977.88,fily blithely pendi
194893,coral thistle burlywood floral powder,Manufacturer#4,Brand#45,MEDIUM ANODIZED COPPER,38,SM DRUM,1987.89,uctions
14857,dodger chocolate puff lawn ghost,Manufacturer#5,Brand#54,STANDARD POLISHED BRASS,36,SM JAR,1771.85,deposi
195026,cornflower lavender red lace linen,Manufacturer#2,Brand#22,MEDIUM PLATED COPPER,10,JUMBO BAG,1121.02,egular asymp
14879,tan hot turquoise drab linen,Manufacturer#3,Brand#33,STANDARD BURNISHED COPPER,27,WRAP JAR,1793.87,efully special acc
195163,green rosy wheat azure chiffon,Manufacturer#1,Brand#11,STANDARD PLATED STEEL,39,MED BAG,1258.16,wake blithe
15069,blush black frosted burnished hot,Manufacturer#2,Brand#25,STANDARD BRUSHED NICKEL,33,SM DRUM,984.06,silent accounts use fu
195226,beige metallic peru cream chocolate,Manufacturer#5,Brand#55,LARGE BURNISHED TIN,40,LG CAN,1321.22,"xpress, even asymptote"
15243,blue forest green tomato dim,Manufacturer#4,Brand#44,LARGE PLATED BRASS,49,WRAP CAN,1158.24, the carefully regul
15251,almond papaya peru light rose,Manufacturer#4,Brand#42,SMALL ANODIZED COPPER,7,LG JAR,1166.25, foxes. furiously
195437,violet antique sandy indian forest,Manufacturer#1,Brand#12,MEDIUM BRUSHED STEEL,21,MED BOX,1532.43,s boost fluffily
195496,khaki ivory sienna violet rosy,Manufacturer#1,Brand#12,SMALL PLATED BRASS,20,SM BAG,1591.49,to the fina
15340,thistle mint cyan red pale,Manufacturer#3,Brand#34,PROMO BRUSHED COPPER,21,WRAP PACK,1255.34,beans u
15394,lawn wheat indian misty saddle,Manufacturer#3,Brand#31,SMALL BURNISHED NICKEL,26,WRAP JAR,1309.39,regular accounts. blit
195569,grey beige violet gainsboro metallic,Manufacturer#4,Brand#41,STANDARD PLATED BRASS,35,SM DRUM,1664.56,lly unusual requests
15495,beige navajo drab papaya lavender,Manufacturer#2,Brand#24,STANDARD BRUSHED BRASS,15,JUMBO BAG,1410.49,ly special the
15500,frosted steel burlywood slate navy,Manufacturer#1,Brand#14,MEDIUM ANODIZED TIN,21,SM PACK,1415.5,ross the ex
195678,tan ghost antique rose aquamarine,Manufacturer#4,Brand#41,MEDIUM PLATED STEEL,5,JUMBO DRUM,1773.67, the blithely s
195812,drab steel seashell firebrick light,Manufacturer#2,Brand#22,ECONOMY BRUSHED COPPER,10,JUMBO CASE,1907.81,ag blithely furiously
195833,khaki olive pale coral black,Manufacturer#1,Brand#11,LARGE BURNISHED COPPER,2,JUMBO CAN,1928.83, foxes integra
15647,metallic magenta saddle cornsilk peach,Manufacturer#5,Brand#55,PROMO PLATED COPPER,1,WRAP PACK,1562.64,e furiously ironic mul
15661,turquoise gainsboro violet hot drab,Manufacturer#3,Brand#32,STANDARD BURNISHED STEEL,48,MED BAG,1576.66,egrate slyly
195857,ghost cream thistle pale antique,Manufacturer#2,Brand#22,STANDARD PLATED COPPER,17,JUMBO PACK,1952.85,gular f
195983,grey dark red cyan white,Manufacturer#4,Brand#45,ECONOMY ANODIZED STEEL,27,MED BAG,2078.98,l reque
195987,cyan tan brown azure puff,Manufacturer#2,Brand#22,SMALL BURNISHED STEEL,30,JUMBO CASE,2082.98,uriously a
15908,tan dark yellow coral lemon,Manufacturer#5,Brand#51,MEDIUM ANODIZED COPPER,26,JUMBO CAN,1823.9,", stealthy p"
15927,plum pale metallic navy chocolate,Manufacturer#3,Brand#31,LARGE POLISHED TIN,31,JUMBO BOX,1842.92,ays pending pac
15931,salmon chiffon steel maroon burnished,Manufacturer#3,Brand#32,PROMO POLISHED BRASS,20,SM BOX,1846.93,ges hag
196112,khaki hot indian moccasin light,Manufacturer#1,Brand#15,STANDARD PLATED BRASS,12,LG DRUM,1208.11,slyly unusual th
196134,orange khaki drab chartreuse indian,Manufacturer#4,Brand#45,MEDIUM PLATED TIN,39,SM DRUM,1230.13,ts cajole 
196149,thistle burnished smoke blanched rosy,Manufacturer#1,Brand#14,SMALL ANODIZED NICKEL,50,SM JAR,1245.14,ts. pendi
16022,purple sandy sienna tan cornflower,Manufacturer#1,Brand#11,SMALL ANODIZED TIN,31,JUMBO CAN,938.02,ic de
196259,misty wheat cyan snow dodger,Manufacturer#2,Brand#22,STANDARD BURNISHED NICKEL,1,MED CASE,1355.25,fily. furiousl
196306,cream tomato frosted rosy linen,Manufacturer#3,Brand#35,ECONOMY PLATED STEEL,9,WRAP PACK,1402.3,osits boos
16185,purple lace yellow dodger cornflower,Manufacturer#5,Brand#55,MEDIUM POLISHED TIN,44,LG DRUM,1101.18,dolphins are. 
16215,ivory dark red aquamarine yellow,Manufacturer#4,Brand#43,STANDARD PLATED COPPER,39,WRAP BAG,1131.21,al deposits are a
16302,rosy snow drab pale light,Manufacturer#3,Brand#34,STANDARD BURNISHED BRASS,8,WRAP BAG,1218.3,ogged
196508,linen azure metallic goldenrod powder,Manufacturer#3,Brand#33,MEDIUM ANODIZED TIN,31,JUMBO DRUM,1604.5,sts. fur
196533,azure metallic beige midnight chiffon,Manufacturer#1,Brand#12,PROMO BURNISHED STEEL,48,MED PACK,1629.53,uriously bold asymp
196707,orange misty lace pale spring,Manufacturer#4,Brand#45,PROMO BURNISHED NICKEL,10,SM PKG,1803.7,es ha
196734,sienna honeydew lime violet magenta,Manufacturer#4,Brand#43,SMALL PLATED COPPER,3,JUMBO CASE,1830.73,ly unu
196844,dark goldenrod mint lavender cyan,Manufacturer#4,Brand#44,ECONOMY BRUSHED TIN,40,MED PKG,1940.84," the unusual, fin"
196914,seashell tomato saddle orchid hot,Manufacturer#2,Brand#24,STANDARD POLISHED STEEL,39,WRAP BAG,2010.91,". regular, pending "
197086,peach forest coral saddle sienna,Manufacturer#4,Brand#41,ECONOMY BRUSHED COPPER,13,SM JAR,1183.08,final foxes use a
197221,black pink cornflower dodger cyan,Manufacturer#5,Brand#52,STANDARD BRUSHED BRASS,33,SM JAR,1318.22,arefu
197225,lavender tan plum lime mint,Manufacturer#2,Brand#24,LARGE BURNISHED COPPER,9,JUMBO PKG,1322.22, use blithely. 
17116,salmon cornsilk slate snow drab,Manufacturer#2,Brand#23,SMALL BRUSHED NICKEL,10,LG CAN,1033.11,al courts wa
17141,dodger olive ivory indian mint,Manufacturer#5,Brand#55,SMALL BRUSHED BRASS,22,SM PACK,1058.14,e slyly ironi
146973,pale dodger mint peru saddle,Manufacturer#4,Brand#44,MEDIUM BURNISHED STEEL,10,WRAP BOX,2019.97, against the furio
147178,royal papaya navajo navy moccasin,Manufacturer#5,Brand#55,LARGE BRUSHED NICKEL,14,MED BOX,1225.17,"he special, final ac"
147181,chiffon dim drab indian yellow,Manufacturer#1,Brand#14,ECONOMY BRUSHED TIN,49,WRAP CAN,1228.18, final accounts. 
147290,salmon metallic cornsilk grey drab,Manufacturer#5,Brand#53,PROMO BRUSHED STEEL,17,LG PACK,1337.29,silent dependen
147331,pink maroon cornsilk black midnight,Manufacturer#3,Brand#35,PROMO PLATED TIN,16,MED CAN,1378.33,fluffily s
147488,blue brown tan steel violet,Manufacturer#2,Brand#24,SMALL ANODIZED COPPER,3,LG CAN,1535.48,efully. b
147530,midnight olive dim blue seashell,Manufacturer#3,Brand#33,MEDIUM BRUSHED BRASS,8,MED BOX,1577.53,x slyly after t
147535,blue blanched royal burnished cornflower,Manufacturer#4,Brand#45,MEDIUM BRUSHED STEEL,50,WRAP DRUM,1582.53,"s, final grouch"
147660,lawn sandy tan frosted antique,Manufacturer#5,Brand#54,ECONOMY ANODIZED COPPER,43,SM PACK,1707.66,aggle 
147781,powder burlywood lime salmon floral,Manufacturer#4,Brand#44,PROMO PLATED TIN,39,MED JAR,1828.78,lites nag agai
147791,hot burnished khaki almond magenta,Manufacturer#2,Brand#21,ECONOMY PLATED COPPER,3,SM BOX,1838.79,ruction
147807,misty green pink spring floral,Manufacturer#4,Brand#41,SMALL BURNISHED NICKEL,14,SM PKG,1854.8,s packages are ir
147979,medium bisque steel red khaki,Manufacturer#5,Brand#51,MEDIUM POLISHED BRASS,30,SM CAN,2026.97,uffily 
147984,yellow bisque snow lime gainsboro,Manufacturer#2,Brand#24,SMALL ANODIZED STEEL,25,SM PKG,2031.98,iously regular Tires
148137,mint sky ivory pale slate,Manufacturer#3,Brand#33,LARGE ANODIZED STEEL,48,SM CAN,1185.13,slyly unu
148236,coral sky sienna tomato beige,Manufacturer#5,Brand#54,LARGE ANODIZED NICKEL,41,MED CAN,1284.23, packages abo
148256,drab sandy grey honeydew orchid,Manufacturer#4,Brand#42,ECONOMY ANODIZED BRASS,33,JUMBO BAG,1304.25,ag alon
148413,almond smoke lavender red misty,Manufacturer#4,Brand#42,SMALL PLATED NICKEL,6,LG JAR,1461.41, final instructions
148435,hot wheat salmon metallic honeydew,Manufacturer#3,Brand#31,PROMO ANODIZED BRASS,7,SM JAR,1483.43,counts. slyly bold dep
148504,chartreuse deep medium firebrick tan,Manufacturer#4,Brand#45,SMALL BURNISHED NICKEL,17,MED PACK,1552.5," the regular, re"
148517,bisque thistle pale steel midnight,Manufacturer#3,Brand#34,ECONOMY POLISHED BRASS,26,LG BAG,1565.51,r instructions ar
148762,moccasin burlywood wheat coral chocolate,Manufacturer#5,Brand#53,MEDIUM POLISHED BRASS,37,MED CASE,1810.76, special deposits h
148773,smoke midnight sandy forest lawn,Manufacturer#5,Brand#51,PROMO POLISHED TIN,44,MED DRUM,1821.77,oxes wake fur
148987,lawn pale goldenrod sky deep,Manufacturer#2,Brand#25,SMALL BURNISHED BRASS,32,LG DRUM,2035.98,odolites wi
149031,dodger honeydew blue firebrick lemon,Manufacturer#2,Brand#25,STANDARD PLATED TIN,42,WRAP PACK,1080.03,the regular pl
149155,sky slate drab deep orchid,Manufacturer#3,Brand#35,PROMO PLATED TIN,38,JUMBO BOX,1204.15,ckages ar
149269,indian cyan moccasin bisque sandy,Manufacturer#1,Brand#12,LARGE BRUSHED COPPER,18,MED DRUM,1318.26,ymptotes. deposits
149297,drab thistle linen rosy aquamarine,Manufacturer#5,Brand#55,LARGE BRUSHED TIN,42,LG JAR,1346.29,"express, special acc"
149339,yellow navy papaya tan cream,Manufacturer#3,Brand#35,ECONOMY ANODIZED BRASS,22,WRAP CAN,1388.33,osits. f
149466,saddle peach antique indian lemon,Manufacturer#5,Brand#54,LARGE BRUSHED STEEL,25,WRAP CAN,1515.46,he furiously ev
149842,navy puff red sandy azure,Manufacturer#4,Brand#43,MEDIUM ANODIZED BRASS,9,MED DRUM,1891.84,. packages nag quickl
149854,ghost tomato goldenrod spring coral,Manufacturer#4,Brand#43,STANDARD ANODIZED NICKEL,7,MED BAG,1903.85,aringly r
149955,sandy frosted medium mint spring,Manufacturer#1,Brand#12,MEDIUM POLISHED TIN,46,LG PACK,2004.95,ins. ironi
150116,yellow almond magenta smoke cornsilk,Manufacturer#2,Brand#23,MEDIUM BRUSHED NICKEL,50,JUMBO CASE,1166.11,"es. even, final p"
150202,olive metallic chartreuse saddle beige,Manufacturer#4,Brand#42,ECONOMY BRUSHED COPPER,34,WRAP DRUM,1252.2,ly regular accoun
150208,maroon tan violet olive green,Manufacturer#5,Brand#55,PROMO BRUSHED TIN,22,JUMBO CAN,1258.2,re finally even packag
150238,cyan red lace olive burnished,Manufacturer#5,Brand#53,ECONOMY POLISHED NICKEL,22,WRAP BOX,1288.23,ke careful
150396,blush wheat floral antique bisque,Manufacturer#4,Brand#44,STANDARD ANODIZED COPPER,45,WRAP PKG,1446.39,furiously sly 
150418,orchid magenta ghost mint dark,Manufacturer#3,Brand#35,LARGE PLATED TIN,6,SM JAR,1468.41,ts use. 
150550,chiffon yellow misty rose black,Manufacturer#3,Brand#35,STANDARD PLATED BRASS,37,JUMBO BAG,1600.55,y bold deposits are
150569,yellow mint sky deep papaya,Manufacturer#3,Brand#31,LARGE BRUSHED BRASS,41,LG CASE,1619.56,sts boost carefull
150801,dark saddle light coral rose,Manufacturer#4,Brand#43,ECONOMY BURNISHED BRASS,34,WRAP CAN,1851.8,ully across t
150889,rosy saddle forest moccasin rose,Manufacturer#2,Brand#22,ECONOMY ANODIZED TIN,41,MED DRUM,1939.88,"ess, special "
151043,bisque magenta black slate sky,Manufacturer#4,Brand#44,PROMO BRUSHED BRASS,30,MED BOX,1094.04, are never slyly iro
151103,wheat blanched dodger blush firebrick,Manufacturer#3,Brand#32,LARGE BRUSHED BRASS,44,LG JAR,1154.1, quickly care
151151,beige sky tan navajo cornflower,Manufacturer#1,Brand#12,PROMO BURNISHED STEEL,17,SM PACK,1202.15, asymptote
151159,green peach sienna mint medium,Manufacturer#4,Brand#45,ECONOMY ANODIZED BRASS,28,JUMBO BAG,1210.15,counts
151168,orchid peru beige drab almond,Manufacturer#2,Brand#21,ECONOMY ANODIZED STEEL,18,LG PKG,1219.16,ts haggle f
